date,crossing_name,auto,bus,truck,total,date2,day_type
2019-01-01,BB,4603.0,5.0,51,4659,2019-01,1
2019-01-01,GB,40550.0,72.0,522,41144,2019-01,1
2019-01-01,GWB,120231.0,574.0,2384,123189,2019-01,1
2019-01-01,HT,37216.0,200.0,182,37598,2019-01,1
2019-01-01,LT,36284.0,3006.0,546,39836,2019-01,1
2019-01-01,OBX,33905.0,54.0,387,34346,2019-01,1
2019-01-02,BB,7355.0,40.0,622,8017,2019-01,2
2019-01-02,GB,40960.0,423.0,4029,45412,2019-01,2
2019-01-02,GWB,119009.0,1123.0,11601,131733,2019-01,2
2019-01-02,HT,36834.0,487.0,1407,38728,2019-01,2
2019-01-02,LT,35606.0,6984.0,3010,45600,2019-01,2
2019-01-02,OBX,36196.0,95.0,2109,38400,2019-01,2
2019-01-03,BB,7776.0,44.0,664,8484,2019-01,3
2019-01-03,GB,39896.0,421.0,4503,44820,2019-01,3
2019-01-03,GWB,113456.0,1142.0,12883,127481,2019-01,3
2019-01-03,HT,36417.0,475.0,1490,38382,2019-01,3
2019-01-03,LT,37188.0,7009.0,3320,47517,2019-01,3
2019-01-03,OBX,36015.0,96.0,2385,38496,2019-01,3
2019-01-04,BB,7770.0,43.0,735,8548,2019-01,4
2019-01-04,GB,40005.0,445.0,4437,44887,2019-01,4
2019-01-04,GWB,119824.0,1224.0,12847,133895,2019-01,4
2019-01-04,HT,36214.0,450.0,1547,38211,2019-01,4
2019-01-04,LT,36504.0,7014.0,3355,46873,2019-01,4
2019-01-04,OBX,36908.0,97.0,2322,39327,2019-01,4
2019-01-05,BB,5438.0,4.0,197,5639,2019-01,5
2019-01-05,GB,38387.0,144.0,1586,40117,2019-01,5
2019-01-05,GWB,115141.0,857.0,5381,121379,2019-01,5
2019-01-05,HT,37374.0,180.0,691,38245,2019-01,5
2019-01-05,LT,38808.0,3071.0,1286,43165,2019-01,5
2019-01-05,OBX,33895.0,65.0,965,34925,2019-01,5
2019-01-06,BB,5679.0,16.0,108,5803,2019-01,6
2019-01-06,GB,39970.0,108.0,811,40889,2019-01,6
2019-01-06,GWB,121752.0,740.0,3716,126208,2019-01,6
2019-01-06,HT,37398.0,201.0,222,37821,2019-01,6
2019-01-06,LT,38974.0,2704.0,668,42346,2019-01,6
2019-01-06,OBX,34807.0,66.0,504,35377,2019-01,6
2019-01-07,BB,7302.0,40.0,678,8020,2019-01,0
2019-01-07,GB,38585.0,419.0,4313,43317,2019-01,0
2019-01-07,GWB,113626.0,1223.0,12078,126927,2019-01,0
2019-01-07,HT,35318.0,437.0,1433,37188,2019-01,0
2019-01-07,LT,35864.0,6915.0,3183,45962,2019-01,0
2019-01-07,OBX,35427.0,98.0,2123,37648,2019-01,0
2019-01-08,BB,6992.0,43.0,581,7616,2019-01,1
2019-01-08,GB,37007.0,415.0,4648,42070,2019-01,1
2019-01-08,GWB,110748.0,1151.0,12930,124829,2019-01,1
2019-01-08,HT,35330.0,438.0,1539,37307,2019-01,1
2019-01-08,LT,37080.0,6878.0,3459,47417,2019-01,1
2019-01-08,OBX,34896.0,96.0,2388,37380,2019-01,1
2019-01-09,BB,7190.0,40.0,627,7857,2019-01,2
2019-01-09,GB,38454.0,404.0,4462,43320,2019-01,2
2019-01-09,GWB,115073.0,1211.0,12868,129152,2019-01,2
2019-01-09,HT,35965.0,424.0,1528,37917,2019-01,2
2019-01-09,LT,38209.0,6839.0,3541,48589,2019-01,2
2019-01-09,OBX,38408.0,114.0,3009,41531,2019-01,2
2019-01-10,BB,7228.0,38.0,592,7858,2019-01,3
2019-01-10,GB,38866.0,423.0,4570,43859,2019-01,3
2019-01-10,GWB,117149.0,1199.0,13329,131677,2019-01,3
2019-01-10,HT,38508.0,458.0,1570,40536,2019-01,3
2019-01-10,LT,39925.0,6930.0,3560,50415,2019-01,3
2019-01-10,OBX,36375.0,89.0,2427,38891,2019-01,3
2019-01-11,BB,7287.0,41.0,529,7857,2019-01,4
2019-01-11,GB,40157.0,446.0,4285,44888,2019-01,4
2019-01-11,GWB,123586.0,1309.0,12226,137121,2019-01,4
2019-01-11,HT,38820.0,463.0,1532,40815,2019-01,4
2019-01-11,LT,38412.0,7070.0,3542,49024,2019-01,4
2019-01-11,OBX,37214.0,114.0,2240,39568,2019-01,4
2019-01-12,BB,56.0,0.0,8,64,2019-01,5
2019-01-12,GB,43830.0,139.0,1844,45813,2019-01,5
2019-01-12,GWB,125456.0,864.0,5290,131610,2019-01,5
2019-01-12,HT,40958.0,221.0,694,41873,2019-01,5
2019-01-12,LT,42468.0,3213.0,1322,47003,2019-01,5
2019-01-12,OBX,37925.0,86.0,983,38994,2019-01,5
2019-01-13,BB,4000.0,6.0,58,4064,2019-01,6
2019-01-13,GB,37598.0,109.0,737,38444,2019-01,6
2019-01-13,GWB,117273.0,681.0,3433,121387,2019-01,6
2019-01-13,HT,35895.0,177.0,273,36345,2019-01,6
2019-01-13,LT,36346.0,2659.0,658,39663,2019-01,6
2019-01-13,OBX,33142.0,59.0,514,33715,2019-01,6
2019-01-14,BB,7633.0,39.0,593,8265,2019-01,0
2019-01-14,GB,38084.0,425.0,4320,42829,2019-01,0
2019-01-14,GWB,114508.0,1193.0,11888,127589,2019-01,0
2019-01-14,HT,36705.0,461.0,1469,38635,2019-01,0
2019-01-14,LT,36325.0,6979.0,3152,46456,2019-01,0
2019-01-14,OBX,35751.0,88.0,2091,37930,2019-01,0
2019-01-15,BB,7354.0,43.0,587,7984,2019-01,1
2019-01-15,GB,38657.0,399.0,4709,43765,2019-01,1
2019-01-15,GWB,117214.0,1206.0,13343,131763,2019-01,1
2019-01-15,HT,38753.0,447.0,1556,40756,2019-01,1
2019-01-15,LT,38357.0,6969.0,3368,48694,2019-01,1
2019-01-15,OBX,35594.0,93.0,2353,38040,2019-01,1
2019-01-16,BB,7414.0,40.0,614,8068,2019-01,2
2019-01-16,GB,39587.0,426.0,4508,44521,2019-01,2
2019-01-16,GWB,118058.0,1291.0,13271,132620,2019-01,2
2019-01-16,HT,38149.0,440.0,1546,40135,2019-01,2
2019-01-16,LT,39756.0,7039.0,3465,50260,2019-01,2
2019-01-16,OBX,36251.0,86.0,2362,38699,2019-01,2
2019-01-17,BB,7638.0,42.0,607,8287,2019-01,3
2019-01-17,GB,39781.0,387.0,4586,44754,2019-01,3
2019-01-17,GWB,120290.0,1197.0,13622,135109,2019-01,3
2019-01-17,HT,40926.0,459.0,1564,42949,2019-01,3
2019-01-17,LT,41386.0,7077.0,3533,51996,2019-01,3
2019-01-17,OBX,36658.0,96.0,2399,39153,2019-01,3
2019-01-18,BB,8649.0,71.0,784,9504,2019-01,4
2019-01-18,GB,39569.0,433.0,4223,44225,2019-01,4
2019-01-18,GWB,117212.0,1359.0,12267,130838,2019-01,4
2019-01-18,HT,39510.0,463.0,1533,41506,2019-01,4
2019-01-18,LT,37336.0,7069.0,3485,47890,2019-01,4
2019-01-18,OBX,34269.0,87.0,2209,36565,2019-01,4
2019-01-19,BB,2444.0,2.0,47,2493,2019-01,5
2019-01-19,GB,36355.0,120.0,1652,38127,2019-01,5
2019-01-19,GWB,103865.0,822.0,4903,109590,2019-01,5
2019-01-19,HT,35230.0,203.0,611,36044,2019-01,5
2019-01-19,LT,36173.0,2903.0,1312,40388,2019-01,5
2019-01-19,OBX,31941.0,64.0,947,32952,2019-01,5
2019-01-20,BB,3797.0,5.0,62,3864,2019-01,6
2019-01-20,GB,27069.0,88.0,584,27741,2019-01,6
2019-01-20,GWB,75830.0,465.0,2435,78730,2019-01,6
2019-01-20,HT,28118.0,111.0,173,28402,2019-01,6
2019-01-20,LT,28112.0,2137.0,577,30826,2019-01,6
2019-01-20,OBX,24735.0,41.0,381,25157,2019-01,6
2019-01-21,BB,5228.0,37.0,344,5609,2019-01,0
2019-01-21,GB,36146.0,268.0,2648,39062,2019-01,0
2019-01-21,GWB,109698.0,924.0,9531,120153,2019-01,0
2019-01-21,HT,33739.0,222.0,1028,34989,2019-01,0
2019-01-21,LT,33593.0,4703.0,2026,40322,2019-01,0
2019-01-21,OBX,31518.0,102.0,1525,33145,2019-01,0
2019-01-22,BB,6930.0,47.0,582,7559,2019-01,1
2019-01-22,GB,39336.0,387.0,4366,44089,2019-01,1
2019-01-22,GWB,114636.0,1087.0,12755,128478,2019-01,1
2019-01-22,HT,38441.0,436.0,1554,40431,2019-01,1
2019-01-22,LT,40414.0,6863.0,3426,50703,2019-01,1
2019-01-22,OBX,35155.0,83.0,2208,37446,2019-01,1
2019-01-23,BB,6952.0,40.0,589,7581,2019-01,2
2019-01-23,GB,39140.0,416.0,4756,44312,2019-01,2
2019-01-23,GWB,113191.0,1209.0,13481,127881,2019-01,2
2019-01-23,HT,37840.0,443.0,1545,39828,2019-01,2
2019-01-23,LT,39566.0,6987.0,3530,50083,2019-01,2
2019-01-23,OBX,34990.0,82.0,2359,37431,2019-01,2
2019-01-24,BB,6884.0,39.0,562,7485,2019-01,3
2019-01-24,GB,37982.0,377.0,4531,42890,2019-01,3
2019-01-24,GWB,112322.0,1136.0,12928,126386,2019-01,3
2019-01-24,HT,39479.0,465.0,1553,41497,2019-01,3
2019-01-24,LT,40795.0,6903.0,3224,50922,2019-01,3
2019-01-24,OBX,33515.0,84.0,2215,35814,2019-01,3
2019-01-25,BB,7483.0,32.0,593,8108,2019-01,4
2019-01-25,GB,42927.0,409.0,4700,48036,2019-01,4
2019-01-25,GWB,122586.0,1259.0,12224,136069,2019-01,4
2019-01-25,HT,41514.0,495.0,1492,43501,2019-01,4
2019-01-25,LT,40791.0,7098.0,3503,51392,2019-01,4
2019-01-25,OBX,37881.0,88.0,2234,40203,2019-01,4
2019-01-26,BB,34.0,0.0,10,44,2019-01,5
